plane_import
Title,Description,Priority,Modules,Cycle,Labels,State,Assignee,Created by
R-001: Define recipe schema (v0-lite),"Define schema sections: identity/version, input binding, contract binding, metrics/slices binding, finding policy binding, output binding. Unknown/disallowed sections rejected. Must match recipe_v0.md. Depends on D-001.",High,Recipe Pipeline,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
R-002: Build recipe validation pipeline,"Structural, referential, and constraint validation. Fails fast with specific, actionable error messages. Depends on R-001 and D-004.",High,Recipe Pipeline,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
R-003: Build recipe compilation pipeline,Normalize recipe into executable run plan and resolve defaults. Deterministic for the same recipe/version. Depends on R-002.,High,Recipe Pipeline,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
R-004: Recipe version compatibility policy,Version identity and selection rules. Backward-safe behavior for old runs. Run always stores exact recipe version. Historical reproducibility preserved. Depends on R-003.,Medium,Recipe Pipeline,M3: Operational trust,P1,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
E-001: Implement diff engine core,"Implement comparison modes: baseline, previous, LKG, and structural compatibility record mode. Diff outputs are objective and reference-tagged. Missing previous/LKG handled as unavailable, not failure. Non-comparable run skips metric diff mode. Depends on D-001 and W-003.",High,Diff & Finding Engines,M2: Analysis complete,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
E-002: Implement finding engine core,Diff-to-finding mapping. Severity assignment. Evidence linkage. Every finding references evidence. Summary top findings generated. Depends on E-001 and D-001.,High,Diff & Finding Engines,M2: Analysis complete,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
E-003: Initial finding policy package,Minimal categories. Default severity rules. Default recommendation templates. Reasonable defaults for early pilots. Policy behavior configurable via recipe. Depends on E-002 and R-003.,Medium,Diff & Finding Engines,M3: Operational trust,P1,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
P-001: Implement persistence gateway abstraction,"Central write/read API. Enforce configurable namespace prefix for all writes and read-only access to training experiments. Implement sentinel run creation from explicit first-run baseline, sequence index assignment, idempotency key check, LKG resolution query, and read visibility rule. Depends on W-001 and D-001.",High,Persistence Gateway,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
P-002: Stage-aligned write implementation,"Implement writes for prepare, check, analyze, and close stages. Partial failure handling explicit. Depends on P-001, P-002a, and W-004.",High,Persistence Gateway,M2: Analysis complete,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
P-002a: Define canonical persisted artifact schemas,"Canonical schema contracts for diffs, findings, summaries, and persisted metadata, with stable versioning rules for stored monitoring artifacts. Depends on D-001, E-001, E-002, and P-001.",High,Persistence Gateway,M2: Analysis complete,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
P-003: LKG metadata and retrieval semantics,"Promotion persistence, atomic active/superseded tag update, and deterministic LKG retrieval. Depends on P-002.",Medium,Persistence Gateway,M3: Operational trust,P1,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
Q-001: Timeline traversal API,Retrieve ordered runs for timeline by sequence_index. Include lifecycle and comparability statuses. Deterministic ordering. Non-comparable runs visible. Depends on P-002.,High,Query & Anchor Window,M2: Analysis complete,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
Q-002: Anchor-window query API,"Resolve anchor run. Return runs and outputs from anchor onward. Aggregate summary from stored outputs. No recomputation required. Non-comparable runs explicitly listed. Depends on Q-001, E-001, E-002.",High,Query & Anchor Window,M2: Analysis complete,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
Q-003: LKG and baseline preset window queries,Baseline-anchored preset. LKG-anchored preset. Presets resolve correctly and consistently. Outputs match anchor-window semantics. Depends on Q-002 and P-003.,Medium,Query & Anchor Window,M3: Operational trust,P1,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
T-001: Build acceptance scenario test harness,"Implement acceptance scenarios A-J from acceptance_v0.md. Each scenario has deterministic pass/fail assertions. Failures provide actionable diagnostics. Depends on all P0 tasks in D, W, R, E, P, Q workstreams.",High,Validation & Acceptance,M2: Analysis complete,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
T-002: Invariant regression suite,Automated checks for all critical invariants from case_v0.md. Any invariant breach fails CI. Invariant reports identify breach stage/entity. Depends on T-001 and D-002.,Medium,Validation & Acceptance,M3: Operational trust,P1,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
T-003: Load and stress validation,Basic concurrency and timeline-size stress tests. Persistence and query behavior under load. No semantic corruption under stress. Known performance baselines documented. Depends on T-001 and Q-002.,Low,Validation & Acceptance,Post-v0,P2,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
O-001: Keep design docs synchronized with implementation,Update docs for any accepted behavior deltas during implementation. No major behavior exists only in code and not in docs. Continuous task.,High,Docs & Ops Readiness,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
O-002: Runbook for failure diagnosis,"Lifecycle-state troubleshooting. Comparability-fail diagnostics. Persistence-fail diagnostics. Operator can diagnose top failure classes without reading source code. Depends on W-004, P-002, T-001.",Medium,Docs & Ops Readiness,M3: Operational trust,P1,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
O-003: Pilot onboarding checklist,Recipe setup. Baseline pinning. Contract setup. Expected outputs and interpretation guide. New pilot team can execute first run with minimal hand-holding. Depends on R-003 and W-004.,Medium,Docs & Ops Readiness,M3: Operational trust,P1,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
